human_gene,marker_class,marker_subclass,pathway_sources,n_external_sources,n_zebrafish_orthologs_in_all_genes
ACIN1,apoptosis,execution_apoptosis,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,2
CASP2,apoptosis,execution_apoptosis,KEGG_hsa04210_Apoptosis,1,1
CASP3,apoptosis,execution_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,2
CASP7,apoptosis,execution_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,1
DFFA,apoptosis,execution_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,1
DFFB,apoptosis,execution_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,1
ROCK1,apoptosis,execution_apoptosis,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,1
CASP8,apoptosis,extrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,1
DAB2IP,apoptosis,extrinsic_apoptosis,KEGG_hsa04210_Apoptosis,1,2
FADD,apoptosis,extrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,1
FAS,apoptosis,extrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,1
FASLG,apoptosis,extrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,1
TNFRSF1A,apoptosis,extrinsic_apoptosis,KEGG_hsa04210_Apoptosis,1,1
TNFSF10,apoptosis,extrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,2
TRADD,apoptosis,extrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,1
AIFM1,apoptosis,intrinsic_apoptosis,KEGG_hsa04210_Apoptosis,1,1
APAF1,apoptosis,intrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,1
BAD,apoptosis,intrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,1
BAX,apoptosis,intrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,2
