human_gene	subprogram
MCM5	S_phase
PCNA	S_phase
TYMS	S_phase
FEN1	S_phase
MCM7	S_phase
MCM4	S_phase
RRM1	S_phase
UNG	S_phase
GINS2	S_phase
MCM6	S_phase
CDCA7	S_phase
DTL	S_phase
PRIM1	S_phase
UHRF1	S_phase
CENPU	S_phase
HELLS	S_phase
RFC2	S_phase
POLR1B	S_phase
NASP	S_phase
RAD51AP1	S_phase
GMNN	S_phase
WDR76	S_phase
SLBP	S_phase
CCNE2	S_phase
UBR7	S_phase
POLD3	S_phase
MSH2	S_phase
ATAD2	S_phase
RAD51	S_phase
RRM2	S_phase
CDC45	S_phase
CDC6	S_phase
EXO1	S_phase
TIPIN	S_phase
DSCC1	S_phase
BLM	S_phase
CASP8AP2	S_phase
USP1	S_phase
CLSPN	S_phase
POLA1	S_phase
CHAF1B	S_phase
MRPL36	S_phase
E2F8	S_phase
HMGB2	G2M_phase
CDK1	G2M_phase
NUSAP1	G2M_phase
UBE2C	G2M_phase
BIRC5	G2M_phase
TPX2	G2M_phase
TOP2A	G2M_phase
NDC80	G2M_phase
CKS2	G2M_phase
NUF2	G2M_phase
CKS1B	G2M_phase
MKI67	G2M_phase
TMPO	G2M_phase
CENPF	G2M_phase
TACC3	G2M_phase
PIMREG	G2M_phase
SMC4	G2M_phase
CCNB2	G2M_phase
CKAP2L	G2M_phase
CKAP2	G2M_phase
AURKB	G2M_phase
BUB1	G2M_phase
KIF11	G2M_phase
ANP32E	G2M_phase
TUBB4B	G2M_phase
GTSE1	G2M_phase
KIF20B	G2M_phase
HJURP	G2M_phase
CDCA3	G2M_phase
JPT1	G2M_phase
CDC20	G2M_phase
TTK	G2M_phase
CDC25C	G2M_phase
KIF2C	G2M_phase
RANGAP1	G2M_phase
NCAPD2	G2M_phase
DLGAP5	G2M_phase
CDCA2	G2M_phase
CDCA8	G2M_phase
ECT2	G2M_phase
KIF23	G2M_phase
HMMR	G2M_phase
AURKA	G2M_phase
PSRC1	G2M_phase
ANLN	G2M_phase
LBR	G2M_phase
CKAP5	G2M_phase
CENPE	G2M_phase
CTCF	G2M_phase
NEK2	G2M_phase
G2E3	G2M_phase
GAS2L3	G2M_phase
CBX5	G2M_phase
CENPA	G2M_phase
