dataset,program,n_pseudobulks,n_replicates,age_min,age_max,beta_age_scaled,se_clustered,ci_low,ci_high,pvalue,qvalue_within_dataset
zebrafish,proliferation,94,31,12.0,240.0,-0.745060745642718,0.08095949821522617,-0.9037384463509961,-0.5863830449344398,3.484740095320884e-20,1.3938960381283536e-19
zebrafish,S_phase,94,31,12.0,240.0,-0.698872215882206,0.0798273381165512,-0.8553309235723479,-0.5424135081920642,2.0446945708597328e-18,4.0893891417194656e-18
zebrafish,G2M_phase,94,31,12.0,240.0,-0.7943986489637553,0.09316375303631905,-0.9769962495795248,-0.6118010483479859,1.5031274147862663e-17,2.0041698863816883e-17
zebrafish,apoptosis,94,31,12.0,240.0,-0.1351310806044918,0.024501431446719023,-0.1831530038097382,-0.08710915739924541,3.483200107200762e-08,3.483200107200762e-08
Popescu,proliferation,69,14,7.857142857142857,17.0,-0.036846544043274504,0.05985065541611704,-0.154151673109981,0.08045858502343202,0.5381311906528872,0.8453713353318456
Popescu,S_phase,69,14,7.857142857142857,17.0,-0.06182354001494806,0.07317140334525754,-0.20523685526990645,0.08158977524001035,0.3981588806631583,0.8453713353318456
Popescu,G2M_phase,69,14,7.857142857142857,17.0,-0.0101665677660401,0.0521288648486647,-0.11233726542437891,0.09200412989229872,0.8453713353318456,0.8453713353318456
Popescu,apoptosis,69,14,7.857142857142857,17.0,-0.010145475854019328,0.03595697930314425,-0.0806198602810342,0.06032890857299554,0.7778239290946383,0.8453713353318456
GSE189161_fetal,proliferation,36,9,10.0,23.0,-0.14270100746637734,0.07100879413043515,-0.2818756865476494,-0.0035263283851052762,0.044470953558658856,0.05929460474487847
GSE189161_fetal,S_phase,36,9,10.0,23.0,-0.11679695775149557,0.08601438905608133,-0.2853820624536312,0.05178814695064002,0.1745027270452707,0.1745027270452707
GSE189161_fetal,G2M_phase,36,9,10.0,23.0,-0.1703712332237048,0.06967064615653243,-0.30692319047014227,-0.03381927597726728,0.014469942833995298,0.028939885667990595
GSE189161_fetal,apoptosis,36,9,10.0,23.0,-0.1425601056323917,0.0421834771434726,-0.22523820157626653,-0.05988200968851684,0.0007261126557908241,0.0029044506231632964
