official_fine_cell_type,gene,n_independent_fish,mean_within_fish_log2cpm_difference,sd_within_fish_log2cpm_difference,t_statistic,p_value,fdr_bh
erythroblast,hbae1.3-1,21,6.592868706438141,3.0724574788489964,9.833275188393008,4.194345250437342e-09,3.15096435636984e-07
erythroblast,hbae3,21,6.512327625496864,3.1824091651435067,9.377560441020682,9.218035622663602e-09,5.308562780013408e-07
erythroblast,hbbe1.1,21,6.440722472371364,3.1892087080785796,9.25467755844271,1.1447476946801123e-08,6.21904019872255e-07
erythroblast,hbbe1.3,21,6.390756592539043,3.1570913550583932,9.276299777142986,1.1017905477152111e-08,6.030809621061639e-07
erythroblast,hbbe1.2,21,6.243561465435123,3.3485594224019444,8.544448346967835,4.153612261758157e-08,1.7228045281456026e-06
erythroblast,hbae1.3,21,6.219216395489626,3.0239571730962025,9.424746537154395,8.486485264620243e-09,4.996281614481896e-07
erythroblast,epb41b,21,6.214795323228158,2.7534518001074946,10.343297092122233,1.788168923749744e-09,1.8102735949473882e-07
erythroblast,hemgn,21,6.112027784593893,2.78350010150893,10.06244977587435,2.8490264235998667e-09,2.4274236003559735e-07
erythroblast,hbbe2,21,6.052770711000816,3.262236026435666,8.502536212157157,4.4908359393454625e-08,1.8334238689872434e-06
erythroblast,alas2,21,5.949703142116923,2.919285506578632,9.339602087505863,9.85397540296815e-09,5.574099282070745e-07
erythroblast,hbae1.1,21,5.848194629445742,3.0780536794471702,8.706733981677237,3.0767068913442225e-08,1.372511440065508e-06
erythroblast,cahz,21,5.703945220120904,2.911129062448828,8.978908241566517,1.8739726206119422e-08,9.347716153907025e-07
erythroblast,si:ch211-250g4.3,21,5.703577224139784,3.308708743407378,7.8994787358436875,1.416355517967866e-07,4.356245923256547e-06
erythroblast,slc4a1a,21,5.701611748013578,2.249885868292432,11.61306348323873,2.420795881903793e-10,5.676455984617996e-08
erythroblast,si:ch211-207c6.2,21,5.636467497982573,2.7304429129628653,9.459834827176547,7.981787427573857e-09,4.785113576305845e-07
erythroblast,nmt1b,21,5.4601231996228865,2.4806799636208594,10.086519919133172,2.73657425864806e-09,2.3834258662225244e-07
erythroblast,nt5c2l1,21,5.225950351223407,2.27626826457077,10.520865855447925,1.338089734336125e-09,1.521183801488217e-07
erythroblast,zgc:163057,21,5.206253354243896,2.284928120786285,10.441488231468048,1.5226118126780613e-09,1.610928290183045e-07
erythroblast,si:ch211-227m13.1,21,5.158116490744796,1.9585347227831431,12.06895082699805,1.2285661498416804e-10,4.012584800107917e-08
erythroblast,add2,21,5.131877316170259,1.9962429515338354,11.780738532104683,1.8819642036678159e-10,5.2076571912036204e-08
erythroblast,sptb,21,4.99585670844061,2.7672981110347408,8.27301237849709,6.914161926593721e-08,2.556469440109147e-06
erythroblast,tmod4,21,4.835454426136419,2.3034966450704517,9.61965192122156,6.0482813512019325e-09,3.9967043270595914e-07
erythroblast,BX005417.1,21,4.765783743160762,3.148068965497533,6.937448000086162,9.786218202496187e-07,1.984367305140302e-05
erythroblast,hbae5,21,4.730713142722438,2.4113543970624125,8.990321411924294,1.835788845760961e-08,9.207471112148441e-07
erythroblast,tfr1a,21,4.599846625295515,2.0999250872952615,10.03804634419324,2.9679546717768665e-09,2.474949435264387e-07
erythroblast,hif1al2,21,4.563410681005278,2.362379075488179,8.852167329900356,2.3578921589483928e-08,1.12894888971639e-06
erythroblast,klf1,21,4.549798157561655,1.9830303962361346,10.514107344683463,1.352852470187987e-09,1.5241493081229072e-07
erythroblast,rfesd,21,4.488904179995951,2.577853645644525,7.9797948293111665,1.212078757847813e-07,3.893838491985334e-06
erythroblast,ucp3,21,4.4405438243615505,1.67008006025058,12.184522578427945,1.0377278553137146e-10,3.6500081680168924e-08
erythroblast,CR293511.1,21,4.394504564686354,2.6127310967336403,7.7077008937813405,2.0615753640095937e-07,5.8671493891704565e-06
erythroblast,aqp1a.1,21,4.35295950395391,2.1703661576371314,9.190968239968903,1.2817341107922907e-08,6.775409504737283e-07
erythroblast,si:dkey-93h22.7,21,4.291601767205671,2.4178222245757515,8.134009916414382,9.00940099557201e-08,3.137974929968492e-06
erythroblast,ripor3,21,4.280610978564163,1.9889190837255513,9.862756102266898,3.989410525763775e-09,3.057247982523161e-07
erythroblast,ank1a,21,4.271731717516625,1.93160560514225,10.134332749889717,2.5266890469908722e-09,2.2802537501379794e-07
erythroblast,tubb1,21,4.236712299176166,1.5713800263835225,12.355416565532057,8.103175112235126e-11,3.012405857940362e-08
erythroblast,slc20a1a,21,4.220568522350159,2.0178160786081056,9.585152449949275,6.419850069662227e-09,4.16379637496887e-07
erythroblast,gata1a,21,4.178622026726094,1.8287358686102722,10.471086648852177,1.4508880654527671e-09,1.5629642284853691e-07
erythroblast,rhd,21,4.15895763188811,2.2530944695092354,8.458916578137483,4.872080954695511e-08,1.9456410624755655e-06
erythroblast,si:ch211-262i1.3,21,4.073711272492749,2.2142973479312773,8.430706148401294,5.136388897107778e-08,2.019792688040338e-06
erythroblast,rell2,21,3.975165205689168,1.8286826307022286,9.961540154198346,3.3754436938377845e-09,2.6998629078845367e-07
erythroblast,gp9,21,3.967989829381131,2.2567223463758763,8.057532544557569,1.0433157412331666e-07,3.5424959604866244e-06
erythroblast,TCIM,21,3.9369910006303748,1.8691266589574693,9.652400592697957,5.716234563694091e-09,3.855226470505028e-07
erythroblast,uros,21,3.8942278275400843,1.5949029039270812,11.189141200486379,4.632379447959476e-10,7.796891420537928e-08
erythroblast,hdr,21,3.8826993145921085,1.8778662761492702,9.474989638962535,7.773551498245848e-09,4.7498304087834045e-07
erythroblast,gfi1b,21,3.8607017243612143,1.5026540056721511,11.773806758408115,1.9015525674260671e-10,5.2076571912036204e-08
erythroblast,BX950188.1,21,3.846515452971877,1.8467714285898769,9.544737346581234,6.8855106687570085e-09,4.3526263870356805e-07
erythroblast,adrb3a,21,3.7804647199175827,1.6209256408449562,10.687884320283537,1.0219099928651717e-09,1.3224575780309427e-07
erythroblast,zgc:66433,21,3.773975638933859,2.09047426482383,8.273016954739308,6.914101963645422e-08,2.556469440109147e-06
erythroblast,rhag,21,3.746534713887827,2.1186859430137774,8.103503483743575,9.551534195599079e-08,3.2961803856133423e-06
erythroblast,blvrb,21,3.725199467940676,1.7415716884537624,9.802070539975128,4.423231667424671e-09,3.229115146938937e-07
erythroblast,eef2l2,21,3.7080624353388836,2.386707018506523,7.1196324726089495,6.721917757905025e-07,1.4729697578923671e-05
erythroblast,slc6a22.2,21,3.705597267343261,2.55417193445506,6.648409115905891,1.792097324524192e-06,3.2282462310125546e-05
erythroblast,adss1,21,3.6405309016792287,2.3218339899200657,7.185271858021706,5.87755564766465e-07,1.3174079999483634e-05
erythroblast,dmtn,21,3.601545795223178,1.6462464286251848,10.02544694310637,3.0313682232191607e-09,2.512555504653102e-07
erythroblast,si:dkey-150i13.2,21,3.5634726711096234,1.3228788720656017,12.344201420926861,8.235117162220782e-11,3.012405857940362e-08
erythroblast,kank4,21,3.5486685805833766,1.2812601460875848,12.692225256902026,5.01515223489283e-11,2.5374659131058428e-08
erythroblast,hmbsb,21,3.431030959807985,1.994163387715824,7.8844888948977445,1.458269967627178e-07,4.45519338105252e-06
erythroblast,fbxo32,21,3.4051633714111773,2.3255035146805714,6.710124841641512,1.573458932276733e-06,2.914776894464022e-05
erythroblast,camsap2b,21,3.390922994452972,2.372521388237933,6.549640131753658,2.20925756072907e-06,3.8556603803181954e-05
erythroblast,klf17,21,3.3656403578547973,1.6112140048241208,9.572472468392842,6.562315351549076e-09,4.216326034420349e-07
