fish_id,hpf,official_fine_cell_type,target_cells,rest_cells
TDR40,16.0,erythroblast,37,26
TDR41,16.0,erythroblast,42,31
TDR28,19.0,erythroblast,14,24
TDR43,24.0,erythroblast,211,72
TDR44,24.0,erythroblast,300,134
TDR46,24.0,erythroblast,204,149
TDR47,48.0,erythroblast,82,134
TDR48,48.0,erythroblast,88,91
TDR50,48.0,erythroblast,17,43
TDR67,72.0,erythroblast,79,72
TDR68,72.0,erythroblast,68,27
TDR69,72.0,erythroblast,65,70
TDR70,72.0,erythroblast,56,91
TDR51,120.0,erythroblast,88,429
TDR52,120.0,erythroblast,141,170
TDR53,120.0,erythroblast,37,351
TDR54,120.0,erythroblast,64,177
TDR71,240.0,erythroblast,146,255
TDR72,240.0,erythroblast,92,67
TDR73,240.0,erythroblast,32,161
TDR74,240.0,erythroblast,315,384
TDR39,16.0,hematopoietic_stem_and_progenitor_HSPC,6,27
TDR40,16.0,hematopoietic_stem_and_progenitor_HSPC,10,53
TDR41,16.0,hematopoietic_stem_and_progenitor_HSPC,10,63
TDR44,24.0,hematopoietic_stem_and_progenitor_HSPC,13,421
TDR46,24.0,hematopoietic_stem_and_progenitor_HSPC,9,344
TDR48,48.0,hematopoietic_stem_and_progenitor_HSPC,8,171
TDR67,72.0,hematopoietic_stem_and_progenitor_HSPC,30,121
TDR69,72.0,hematopoietic_stem_and_progenitor_HSPC,15,120
TDR70,72.0,hematopoietic_stem_and_progenitor_HSPC,22,125
TDR51,120.0,hematopoietic_stem_and_progenitor_HSPC,101,416
TDR52,120.0,hematopoietic_stem_and_progenitor_HSPC,19,292
TDR53,120.0,hematopoietic_stem_and_progenitor_HSPC,54,334
TDR54,120.0,hematopoietic_stem_and_progenitor_HSPC,16,225
TDR71,240.0,hematopoietic_stem_and_progenitor_HSPC,108,293
TDR72,240.0,hematopoietic_stem_and_progenitor_HSPC,19,140
TDR73,240.0,hematopoietic_stem_and_progenitor_HSPC,45,148
TDR74,240.0,hematopoietic_stem_and_progenitor_HSPC,142,557
TDR51,120.0,innate-lymphoid-cell,12,505
TDR53,120.0,innate-lymphoid-cell,15,373
TDR54,120.0,innate-lymphoid-cell,12,229
TDR71,240.0,innate-lymphoid-cell,25,376
TDR72,240.0,innate-lymphoid-cell,9,150
TDR73,240.0,innate-lymphoid-cell,10,183
TDR74,240.0,innate-lymphoid-cell,25,674
TDR39,16.0,macrophage,5,28
TDR41,16.0,macrophage,12,61
TDR28,19.0,macrophage,7,31
TDR43,24.0,macrophage,13,270
TDR44,24.0,macrophage,34,400
TDR46,24.0,macrophage,43,310
TDR47,48.0,macrophage,28,188
TDR48,48.0,macrophage,29,150
TDR50,48.0,macrophage,9,51
TDR67,72.0,macrophage,14,137
TDR68,72.0,macrophage,9,86
TDR69,72.0,macrophage,23,112
TDR70,72.0,macrophage,32,115
TDR51,120.0,macrophage,129,388
TDR52,120.0,macrophage,82,229
TDR53,120.0,macrophage,136,252
TDR54,120.0,macrophage,78,163
TDR71,240.0,macrophage,31,370
TDR72,240.0,macrophage,6,153
TDR73,240.0,macrophage,24,169
TDR74,240.0,macrophage,46,653
TDR18,14.0,macrophage_immature,5,29
TDR43,24.0,macrophage_immature,27,256
TDR44,24.0,macrophage_immature,25,409
TDR46,24.0,macrophage_immature,27,326
TDR47,48.0,macrophage_immature,41,175
TDR48,48.0,macrophage_immature,13,166
TDR50,48.0,macrophage_immature,8,52
TDR67,72.0,macrophage_immature,6,145
TDR70,72.0,macrophage_immature,5,142
TDR51,120.0,macrophage_immature,23,494
TDR52,120.0,macrophage_immature,11,300
TDR53,120.0,macrophage_immature,25,363
TDR54,120.0,macrophage_immature,16,225
TDR71,240.0,macrophage_immature,9,392
TDR74,240.0,macrophage_immature,33,666
TDR47,48.0,microglia,7,209
TDR48,48.0,microglia,8,171
TDR67,72.0,microglia,13,138
TDR68,72.0,microglia,5,90
TDR69,72.0,microglia,17,118
TDR70,72.0,microglia,17,130
TDR51,120.0,microglia,27,490
TDR52,120.0,microglia,14,297
TDR53,120.0,microglia,24,364
TDR54,120.0,microglia,10,231
TDR72,240.0,microglia,6,153
TDR74,240.0,microglia,38,661
TDR43,24.0,neutrophil,12,271
TDR44,24.0,neutrophil,10,424
TDR45,24.0,neutrophil,5,102
TDR46,24.0,neutrophil,15,338
TDR47,48.0,neutrophil,21,195
TDR48,48.0,neutrophil,17,162
TDR51,120.0,neutrophil,107,410
TDR52,120.0,neutrophil,32,279
TDR53,120.0,neutrophil,69,319
TDR54,120.0,neutrophil,36,205
TDR71,240.0,neutrophil,57,344
TDR72,240.0,neutrophil,7,152
TDR73,240.0,neutrophil,48,145
TDR74,240.0,neutrophil,60,639
TDR18,14.0,non_specific_hematopoietic,8,26
TDR40,16.0,non_specific_hematopoietic,7,56
TDR41,16.0,non_specific_hematopoietic,6,67
TDR28,19.0,non_specific_hematopoietic,10,28
TDR43,24.0,non_specific_hematopoietic,15,268
TDR44,24.0,non_specific_hematopoietic,52,382
TDR45,24.0,non_specific_hematopoietic,5,102
TDR46,24.0,non_specific_hematopoietic,55,298
TDR47,48.0,non_specific_hematopoietic,34,182
TDR48,48.0,non_specific_hematopoietic,16,163
