official_fine_cell_type,gene,n_independent_fish,mean_within_fish_log2cpm_difference,sd_within_fish_log2cpm_difference,t_statistic,p_value,fdr_bh
erythroblast,hbae1.3-1,21,6.592868706438141,3.0724574788489964,9.833275188393008,4.194345250437342e-09,3.15096435636984e-07
erythroblast,hbae3,21,6.512327625496864,3.1824091651435067,9.377560441020682,9.218035622663602e-09,5.308562780013408e-07
erythroblast,hbbe1.1,21,6.440722472371364,3.1892087080785796,9.25467755844271,1.1447476946801123e-08,6.21904019872255e-07
erythroblast,hbbe1.3,21,6.390756592539043,3.1570913550583932,9.276299777142986,1.1017905477152111e-08,6.030809621061639e-07
erythroblast,hbbe1.2,21,6.243561465435123,3.3485594224019444,8.544448346967835,4.153612261758157e-08,1.7228045281456026e-06
erythroblast,hbae1.3,21,6.219216395489626,3.0239571730962025,9.424746537154395,8.486485264620243e-09,4.996281614481896e-07
erythroblast,epb41b,21,6.214795323228158,2.7534518001074946,10.343297092122233,1.788168923749744e-09,1.8102735949473882e-07
erythroblast,hemgn,21,6.112027784593893,2.78350010150893,10.06244977587435,2.8490264235998667e-09,2.4274236003559735e-07
erythroblast,hbbe2,21,6.052770711000816,3.262236026435666,8.502536212157157,4.4908359393454625e-08,1.8334238689872434e-06
erythroblast,alas2,21,5.949703142116923,2.919285506578632,9.339602087505863,9.85397540296815e-09,5.574099282070745e-07
erythroblast,hbae1.1,21,5.848194629445742,3.0780536794471702,8.706733981677237,3.0767068913442225e-08,1.372511440065508e-06
erythroblast,cahz,21,5.703945220120904,2.911129062448828,8.978908241566517,1.8739726206119422e-08,9.347716153907025e-07
erythroblast,si:ch211-250g4.3,21,5.703577224139784,3.308708743407378,7.8994787358436875,1.416355517967866e-07,4.356245923256547e-06
erythroblast,slc4a1a,21,5.701611748013578,2.249885868292432,11.61306348323873,2.420795881903793e-10,5.676455984617996e-08
erythroblast,si:ch211-207c6.2,21,5.636467497982573,2.7304429129628653,9.459834827176547,7.981787427573857e-09,4.785113576305845e-07
erythroblast,nmt1b,21,5.4601231996228865,2.4806799636208594,10.086519919133172,2.73657425864806e-09,2.3834258662225244e-07
erythroblast,nt5c2l1,21,5.225950351223407,2.27626826457077,10.520865855447925,1.338089734336125e-09,1.521183801488217e-07
erythroblast,zgc:163057,21,5.206253354243896,2.284928120786285,10.441488231468048,1.5226118126780613e-09,1.610928290183045e-07
erythroblast,si:ch211-227m13.1,21,5.158116490744796,1.9585347227831431,12.06895082699805,1.2285661498416804e-10,4.012584800107917e-08
erythroblast,add2,21,5.131877316170259,1.9962429515338354,11.780738532104683,1.8819642036678159e-10,5.2076571912036204e-08
hematopoietic_stem_and_progenitor_HSPC,ccl38.6,17,3.610137084498897,2.956203240445142,5.035166837888649,0.00012191566458952633,0.003275961075429633
hematopoietic_stem_and_progenitor_HSPC,mef2b,17,3.2622188557913243,2.891840941281029,4.651180057763108,0.00026621963786214726,0.005235652877955563
hematopoietic_stem_and_progenitor_HSPC,si:ch211-214p16.1,17,3.2181618341910174,2.0023038890218685,6.626776902072987,5.819113153994588e-06,0.0006163991095746777
hematopoietic_stem_and_progenitor_HSPC,BX005105.1,17,3.1978181533491274,3.0257054684298343,4.357642260738051,0.0004883910229121842,0.007905204465766296
hematopoietic_stem_and_progenitor_HSPC,CT573231.1,17,3.085037255111456,2.5964843125138652,4.898906725715943,0.0001605578719960562,0.0038471604969821183
hematopoietic_stem_and_progenitor_HSPC,si:dkey-183i3.6,17,2.980437715098403,2.5135698472274672,4.888927006933975,0.0001638416444089811,0.0038985216950220268
hematopoietic_stem_and_progenitor_HSPC,si:ch211-167j9.5,17,2.9235757940736025,2.292533352086477,5.258031161245148,7.807325825543553e-05,0.0025992218263409597
hematopoietic_stem_and_progenitor_HSPC,tox2,17,2.8891110709428496,1.6744186020738525,7.114176881984572,2.454497487082573e-06,0.00039612597464650385
hematopoietic_stem_and_progenitor_HSPC,cd226,17,2.8379916447042794,2.4565263030543516,4.76336821681377,0.00021156539825849239,0.004520480296901666
hematopoietic_stem_and_progenitor_HSPC,zgc:136858,17,2.823903972853762,1.059305476178649,10.991403913703365,7.260282319822321e-09,4.411627943519815e-05
hematopoietic_stem_and_progenitor_HSPC,si:ch211-196f2.6,17,2.7231763457081386,2.489361336658103,4.510371212566258,0.0003558286215111512,0.006355571765077105
hematopoietic_stem_and_progenitor_HSPC,CR936442.1,17,2.71561563049972,2.07079069708275,5.407002310229722,5.8154204497930883e-05,0.0022189407542077427
hematopoietic_stem_and_progenitor_HSPC,si:ch211-119e14.1,17,2.642851993884661,2.1372605192600753,5.098469665005172,0.0001073549082374179,0.003086976448240948
hematopoietic_stem_and_progenitor_HSPC,nkl.4,17,2.631918901989916,3.4675086140990863,3.129532133486427,0.00646697318394208,0.04368909364724229
hematopoietic_stem_and_progenitor_HSPC,si:ch211-214p16.2,17,2.6145136547295387,2.908128401306975,3.706822557499465,0.0019145818416426222,0.019570250680128666
hematopoietic_stem_and_progenitor_HSPC,il2rb,17,2.593177365516705,2.2247676770084817,4.805869976663432,0.00019399168769358997,0.004294775355264838
hematopoietic_stem_and_progenitor_HSPC,si:ch211-93g21.1,17,2.5543687755426294,1.9615580994915522,5.369166618654758,6.265515649091459e-05,0.002313518463429666
hematopoietic_stem_and_progenitor_HSPC,nkl.1,17,2.5292311300571373,2.9601251438819425,3.522921023247726,0.0028234887603940145,0.02538699601682784
hematopoietic_stem_and_progenitor_HSPC,si:dkey-19b23.10,17,2.4754275482871297,1.98471335509532,5.142530645016702,9.82866844424602e-05,0.002953007156897814
hematopoietic_stem_and_progenitor_HSPC,si:cabz01036006.1,17,2.4555265497142007,1.7958074392276364,5.637795628764391,3.7051833632855225e-05,0.0017417989457675193
innate-lymphoid-cell,si:dkey-21e2.16,7,12.642302809190108,1.1266399156775153,29.688624348246872,9.683415168565208e-08,0.0002508494656673265
innate-lymphoid-cell,si:dkey-21e2.15,7,12.47703523446902,1.3413995986458842,24.6094693655191,2.9610800134424274e-07,0.0002878162185493345
innate-lymphoid-cell,si:dkey-21e2.10,7,12.1875356479259,1.748459033317195,18.44206115482756,1.6387263280695936e-06,0.0006158692713779356
innate-lymphoid-cell,si:dkey-21e2.13,7,11.483189244875108,0.40079242947225313,75.8039842215494,3.5478219496364655e-10,9.733449518827643e-06
innate-lymphoid-cell,si:dkey-21e2.8,7,11.424142860838845,2.8883446667166695,10.464624011168437,4.467968945322604e-05,0.0035841733337697557
innate-lymphoid-cell,si:dkey-21e2.12-1,7,9.213374789549013,1.4207396766471991,17.15747003441498,2.509436749593091e-06,0.000782345423012346
innate-lymphoid-cell,si:ch1073-110a20.3,7,9.120936989733835,0.9577274028343329,25.196868051712315,2.5733559436049167e-07,0.0002878162185493345
innate-lymphoid-cell,si:dkey-78l4.5,7,8.913244042243488,1.590509361599874,14.826839552131455,5.919759748063055e-06,0.0012120045424485815
innate-lymphoid-cell,si:ch211-212d10.1,7,8.625700305260814,1.4999531494467018,15.214780474918399,5.087780354930574e-06,0.0011198786675706506
innate-lymphoid-cell,si:dkey-78l4.2,7,8.578019833559809,2.263717980462661,10.025677852477205,5.707887983210538e-05,0.0040425539838618
innate-lymphoid-cell,zmp:0000001323,7,8.574378832826607,1.5698574613035106,14.450785881973461,6.88097420173837e-06,0.0013201365540188267
innate-lymphoid-cell,CR847844.1,7,8.435544325352492,0.8217016889944347,27.161137377795974,1.6458138808135147e-07,0.0002508494656673265
innate-lymphoid-cell,si:zfos-2330d3.7-1,7,8.387936046166105,0.8407939027410231,26.39456913153365,1.9518166297217786e-07,0.00027852536584858597
