gamma_r2_threshold,n_velocity_genes,source_hpf,target_hpf,n_valid_cells,mean_moscot_graphvelo_cosine,median_moscot_graphvelo_cosine,fraction_positive_moscot_graphvelo_cosine
0.01,522,12.0,14.0,19,0.708988518303277,0.7827412589831356,0.9473684210526315
0.01,522,14.0,16.0,77,0.14060867865885723,0.0883180360041016,0.5324675324675324
0.01,522,16.0,19.0,186,0.13722699550600903,0.15683230285478078,0.5591397849462365
0.01,522,19.0,24.0,79,0.1881356604997268,0.39811256105854487,0.6962025316455697
0.01,522,24.0,48.0,1177,-0.003334654594920102,-0.02011444254913849,0.4825828377230246
0.01,522,48.0,72.0,466,0.24873599315666953,0.24436442563078675,0.6909871244635193
0.01,522,72.0,120.0,528,-0.0031189801612441863,0.006864049134099642,0.5056818181818182
0.01,522,120.0,240.0,1456,-0.09403495552980755,-0.15520809765213872,0.4072802197802198
0.05,479,12.0,14.0,19,0.7001699987229828,0.745430068832096,1.0
0.05,479,14.0,16.0,77,0.14978309865462514,0.08744087556993564,0.5194805194805194
0.05,479,16.0,19.0,186,0.15538984510764828,0.17159639046331127,0.5806451612903226
0.05,479,19.0,24.0,79,0.15709354617336688,0.390876384581073,0.6455696202531646
0.05,479,24.0,48.0,1177,0.00587769375676292,-0.01038002885414446,0.491928632115548
0.05,479,48.0,72.0,466,0.24403616708126835,0.2258147776285686,0.6845493562231759
0.05,479,72.0,120.0,528,0.0005412642416437631,0.00504701643112103,0.5113636363636364
0.05,479,120.0,240.0,1456,-0.0727425135743894,-0.1193252496000844,0.4217032967032967
0.1,448,12.0,14.0,19,0.7074793786701321,0.7706406211670855,1.0
0.1,448,14.0,16.0,77,0.14372948596691165,0.07952917759715632,0.5194805194805194
0.1,448,16.0,19.0,186,0.15125037675852554,0.16591715062443918,0.5645161290322581
0.1,448,19.0,24.0,79,0.1596869831406461,0.4036943787047922,0.6582278481012658
0.1,448,24.0,48.0,1177,-0.008324425231445892,-0.02229531522943705,0.47578589634664403
0.1,448,48.0,72.0,466,0.24268932790533074,0.2213152985485745,0.6888412017167382
0.1,448,72.0,120.0,528,-0.02266892811711541,-0.02684675661157113,0.4734848484848485
0.1,448,120.0,240.0,1456,-0.07188246664977065,-0.11802842613166042,0.42445054945054944
0.2,371,12.0,14.0,19,0.7364149871532825,0.7686628399360909,1.0
0.2,371,14.0,16.0,77,0.506291408296195,0.573517793883559,1.0
0.2,371,16.0,19.0,186,0.3907498035697468,0.4147459034737224,0.8494623655913979
0.2,371,19.0,24.0,79,0.5716693587897976,0.6737513879017557,0.9113924050632911
0.2,371,24.0,48.0,1177,-0.16333186521593468,-0.2325704351451568,0.3211554800339847
0.2,371,48.0,72.0,466,0.2260783711752089,0.2504184033062812,0.6802575107296137
0.2,371,72.0,120.0,528,0.030450147651586143,0.02575761057614981,0.5113636363636364
0.2,371,120.0,240.0,1456,-0.10693427483734066,-0.16614006415018412,0.38324175824175827
