gamma_r2_threshold,gene
0.01,pdia2
0.01,msx1b
0.01,dla
0.01,hpgd
0.01,smox
0.01,morc3b
0.01,slc24a2
0.01,lmo7b
0.01,sh3gl2a
0.01,bnc2
0.01,ugt8
0.01,jam2a
0.01,si:dkey-27h10.2
0.01,si:ch211-132g1.4
0.01,si:ch211-14k19.8
0.01,hemgn
0.01,si:zfos-2330d3.7-1
0.01,nt5c2l1
0.01,mmp13a
0.01,si:ch211-243g18.2
0.01,mpx
0.01,hapln1b
0.01,kcnip3b
0.01,alox5ap
0.01,arr3a
0.01,stoml3b
0.01,msi2a
0.01,slc43a2b
0.01,ddx4
0.01,samsn1b
0.01,CABZ01049847.1
0.01,mmp13a-1
0.01,ucp3
0.01,slc12a2
0.01,CR847844.1
0.01,scpp8
0.01,anxa4
0.01,sftpba
0.01,robo4
0.01,si:ch73-1a9.3
0.01,il1b
0.01,ved
0.01,dhrs13a.2
0.01,grm2b
0.01,ly75
0.01,itpr1b
0.01,gata2a
0.01,col6a1
0.01,si:ch211-222l21.1
0.01,fbln2
0.01,il1fma
0.01,fgd5a
0.01,col2a1b
0.01,slc29a1b
0.01,mylpfb
0.01,epas1a
0.01,qki2
0.01,hbbe3
0.01,hbae5
0.01,hbbe2
0.01,zgc:163057
0.01,ca10a
0.01,pmp22b
0.01,aqp8a.2
0.01,si:ch211-136m16.8
0.01,ebf3a
0.01,rbp4
0.01,pde6c
0.01,pgam1a
0.01,fgfr3
0.01,cfl1l
0.01,cxcl12a
0.01,sfrp5
0.01,arg2
0.01,gsta.1
0.01,srgn
0.01,runx3
0.01,pax2a
0.01,vsir
0.01,plaua
0.01,zbtb18
0.01,si:ch211-250c4.4
0.01,slc24a3
0.01,wu:fj16a03
0.01,fosl1a
0.01,clic2
0.01,cd74a
0.01,lect2l
0.01,rpl39
0.01,fgf24
0.01,qdpra
0.01,smtnl1
0.01,apln
0.01,lygl1
0.01,slc43a3b
0.01,hbegfa
0.01,gfra3
0.01,il4
0.01,arhgef9b
0.01,f8
0.01,si:dkey-27i16.2
0.01,gstp1
0.01,si:ch1073-303k11.2
0.01,csf1ra
0.01,flt4
0.01,kdrl
0.01,slc7a11
0.01,CABZ01073834.1
0.01,BX088707.3
0.01,flj13639
0.01,tnfb
0.01,mcamb
0.01,guca1c
0.01,samsn1a
0.01,hmbsb
0.01,lgals9l1
0.01,si:dkey-262k9.4
0.01,npas1
0.01,si:ch1073-429i10.1
0.01,si:dkey-262k9.2
0.01,itgae.1
0.01,postnb
0.01,si:ch211-11n16.3
0.01,ctsc
0.01,foxo1a
0.01,icn
0.01,ctsk
0.01,efna1b
0.01,prdm1a
0.01,ctss2.2
0.01,s100a10b
0.01,epb41b
0.01,gapdhs
0.01,apoa2
0.01,ntd5
0.01,gapdh
0.01,si:ch73-86n18.1
0.01,hdac9b
0.01,scgn
0.01,stmn2a
0.01,sall3a
0.01,col6a4a
0.01,ctss2.1
0.01,pbxip1b
0.01,ptpn6
0.01,entpd3
0.01,apoc1
0.01,si:ch211-198c19.3
0.01,CR855311.1
0.01,cd83
0.01,icn2
0.01,abcb4
0.01,rorc
0.01,prss59.2
0.01,CR848047.1
0.01,si:dkey-56f14.7
0.01,satb1b
0.01,atp1a3b
0.01,il6r
0.01,si:dkey-33i11.9
0.01,ctsl.1
0.01,slc16a9a
0.01,sptb
0.01,crip1
0.01,ehd4
0.01,prox1a
0.01,bcl11ba
0.01,syne1b
0.01,lpin1
0.01,p4ha1b
0.01,ezra
0.01,fabp10b
0.01,si:ch211-214p16.1
0.01,slc24a4a
0.01,tagapa
0.01,akap12a
0.01,loxl1
0.01,blvrb
0.01,ehd2b
0.01,gnb5b
0.01,sema3d
0.01,tat
0.01,scg3
0.01,tnfaip8l3
0.01,lmo2
0.01,pkma
0.01,cyp1a
0.01,gnb3b
0.01,eomesa
0.01,krt1-19d
0.01,pou2f2a-1
0.01,ncaldb
0.01,fabp11a
0.01,rplp1
0.01,col9a2
0.01,cndp2
0.01,ndrg1a
0.01,arpp21
0.01,grn1
0.01,zgc:174904
0.01,gpnmb
0.01,col11a2
0.01,atp1a3a
0.01,si:ch211-80h18.1
0.01,rcvrn3
0.01,bzw2
0.01,col8a2
0.01,si:ch211-250g4.3
0.01,ppp1r18
0.01,col1a2
0.01,zfpm2b
0.01,rbm24a
0.01,prdm1b
0.01,laptm5
0.01,nme2b.2
0.01,si:ch73-359m17.2
0.01,tfa
0.01,cahz
0.01,cdh6
0.01,gfi1aa
0.01,rgs5b
0.01,anxa13l
0.01,clul1
0.01,f3b
0.01,aqp1a.1
0.01,mpz
0.01,klf17
0.01,mrc1b
0.01,rgs20
0.01,ccr9a
0.01,ifi30
0.01,scinlb
0.01,prdx1
0.01,ccl34a.4
0.01,CR855337.1
0.01,rgs13
0.01,si:ch211-14a17.10
0.01,si:ch211-9d9.1
0.01,glula
0.01,ptmab
0.01,tfr1a
0.01,fcer1gl
0.01,BX908782.2
0.01,FP236331.1
0.01,rhag
0.01,nfkbiaa
0.01,thbs1b
0.01,atf3
0.01,hsp90aa1.2
0.01,ckbb
0.01,tnfrsf21
0.01,kdr
0.01,calm1b
0.01,cx43
0.01,si:dkey-5n18.1
0.01,cx32.2
0.01,itpkb
0.01,igfbp1a
0.01,aldocb
0.01,crhbp
0.01,havcr1
0.01,unc119b
0.01,fabp6
0.01,csf1rb
0.01,slco2b1
0.01,tmsb
0.01,rfesd
0.01,cfbl
0.01,thbs4b
0.01,hbegfb
0.01,ripply1
0.01,si:ch211-160j14.2
0.01,timd4
0.01,CU499330.1
0.01,si:dkey-102g19.3
0.01,egfl7
0.01,si:dkey-183i3.6
0.01,dusp5
0.01,cela1.6
0.01,gcga
0.01,blf
0.01,si:dkey-222f2.1
0.01,cxcl12b
0.01,tal1
0.01,abi3bpb
0.01,stab1
0.01,si:ch211-212d10.1
0.01,ptprc
0.01,lpl
0.01,si:dkey-21e2.15
0.01,si:dkey-21e2.8
0.01,si:dkey-21e2.16
0.01,si:dkey-21e2.13
0.01,mef2b
0.01,si:dkey-21e2.10
0.01,capn8
0.01,si:dkey-21e2.3-1
0.01,si:ch211-227m13.1
0.01,cfh
0.01,rgs2
0.01,vasna
0.01,nr5a2
0.01,CABZ01072309.2
0.01,nr4a1
