source_hpf,target_hpf,fish_id,n_source_cells,source_mass_tvd_M0_M1,mean_cell_conditional_fate_tvd_M0_M1
12.0,14.0,TDR35,4,0.00030649233748378246,9.988088273637483e-05
12.0,14.0,TDR36,5,0.00025174970598622337,6.726930950970738e-05
12.0,14.0,TDR37,8,0.0005911371214162207,0.0001394886090886039
12.0,14.0,TDR38,2,0.00032639057131311766,0.00011655295167627844
14.0,16.0,TDR18,34,0.0004658591027279597,0.00024046406616951913
14.0,16.0,TDR19,20,0.00045271817821187946,0.0001451296761165254
14.0,16.0,TDR21,10,0.0004657295757416794,0.00018443613576499498
14.0,16.0,TDR22,13,0.00022216699203200753,0.00014312171000416927
16.0,19.0,TDR39,33,0.0013149600605512155,0.0009659839927527429
16.0,19.0,TDR40,63,0.0011008616514581026,0.0005421600843651648
16.0,19.0,TDR41,73,0.0011760865910414352,0.0007920137307289495
16.0,19.0,TDR42,17,0.0013039071926060405,0.0005912828258758803
19.0,24.0,TDR27,18,0.002642599188890484,0.0012663125821430357
19.0,24.0,TDR28,38,0.002139677074763736,0.0013094767246350605
19.0,24.0,TDR29,21,0.0014360211540807126,0.0012531076389190815
19.0,24.0,TDR30,2,0.0009738389359259247,0.0014615958654402733
24.0,48.0,TDR43,283,0.009014658855615811,0.0018637137537522704
24.0,48.0,TDR44,434,0.010040729334337802,0.001938578752214261
24.0,48.0,TDR45,107,0.00874376353528447,0.002934914914429021
24.0,48.0,TDR46,353,0.010125479815376964,0.0018735245824032635
48.0,72.0,TDR47,216,0.011059496756022507,0.0016510157945658637
48.0,72.0,TDR48,179,0.009844093450720001,0.001823181858369957
48.0,72.0,TDR49,11,0.013171103451248695,0.0008651249280180249
48.0,72.0,TDR50,60,0.009851658480741893,0.0013313741786369448
72.0,120.0,TDR67,151,0.015991023733035584,0.0035839127157191596
72.0,120.0,TDR68,95,0.010863946251825966,0.003089285998853324
72.0,120.0,TDR69,135,0.015061231431275435,0.005021286605760362
72.0,120.0,TDR70,147,0.02246051796986101,0.009292694823153659
120.0,240.0,TDR51,516,0.05129005250754669,0.024311629488443894
120.0,240.0,TDR52,311,0.06268335697442551,0.029301982690655065
120.0,240.0,TDR53,388,0.057336174862208614,0.02448515369177859
120.0,240.0,TDR54,241,0.05609632720017245,0.027369009788706905
