source_hpf,target_hpf,source,target,mass,conditional_target_fraction,source_mass_fraction,model,matrix_kind,source_type_cells,source_type_fish,source_type_supported,target_type_cells,target_type_fish,target_type_supported,source_time_cells,source_time_fish,source_time_supported,target_time_cells,target_time_fish,target_time_supported,supported_for_type_level_claim,support_status
14.0,16.0,erythroblast,erythroblast,0.2100674547066425,0.5654309587039698,0.5887240804450797,M0,raw,34,4,True,105,4,True,77,4,True,186,4,True,True,supported
14.0,16.0,erythroblast,hematopoietic_stem_and_progenitor_HSPC,0.05650414019259729,0.1520901474455459,0.5887240804450797,M0,raw,34,4,True,29,4,True,77,4,True,186,4,True,True,supported
14.0,16.0,erythroblast,macrophage,0.014226602446004624,0.03829323048340944,0.5887240804450797,M0,raw,34,4,True,23,4,True,77,4,True,186,4,True,True,supported
14.0,16.0,macrophage_immature,erythroblast,0.004952922209033508,0.08708720018466684,0.09012386093203932,M0,raw,20,4,True,105,4,True,77,4,True,186,4,True,True,supported
14.0,16.0,macrophage_immature,hematopoietic_stem_and_progenitor_HSPC,0.014991231952358686,0.26359073753847495,0.09012386093203932,M0,raw,20,4,True,29,4,True,77,4,True,186,4,True,True,supported
14.0,16.0,macrophage_immature,macrophage,0.003097886594001748,0.054470120582384624,0.09012386093203932,M0,raw,20,4,True,23,4,True,77,4,True,186,4,True,True,supported
14.0,16.0,erythroblast,erythroblast,0.21011977708331048,0.5654123974929063,0.588925571639728,M1,raw,34,4,True,105,4,True,77,4,True,186,4,True,True,supported
14.0,16.0,erythroblast,hematopoietic_stem_and_progenitor_HSPC,0.05653061476054139,0.15211852433496784,0.588925571639728,M1,raw,34,4,True,29,4,True,77,4,True,186,4,True,True,supported
14.0,16.0,erythroblast,macrophage,0.014231162677629989,0.03829470942889869,0.588925571639728,M1,raw,34,4,True,23,4,True,77,4,True,186,4,True,True,supported
14.0,16.0,macrophage_immature,erythroblast,0.004950923583840612,0.08704460479591575,0.09013701523817962,M1,raw,20,4,True,105,4,True,77,4,True,186,4,True,True,supported
14.0,16.0,macrophage_immature,hematopoietic_stem_and_progenitor_HSPC,0.014993825295073177,0.26361376318723373,0.09013701523817962,M1,raw,20,4,True,29,4,True,77,4,True,186,4,True,True,supported
14.0,16.0,macrophage_immature,macrophage,0.003095733678232679,0.05442760527645528,0.09013701523817962,M1,raw,20,4,True,23,4,True,77,4,True,186,4,True,True,supported
16.0,19.0,erythroblast,erythroblast,0.26965058791125635,0.7217671795076754,0.4858709855549445,M0,raw,105,4,True,36,3,True,186,4,True,79,4,True,True,supported
16.0,19.0,hematopoietic_stem_and_progenitor_HSPC,erythroblast,0.034639343786639576,0.27869534613282154,0.16164291104150538,M0,raw,29,4,True,36,3,True,186,4,True,79,4,True,True,supported
16.0,19.0,macrophage,erythroblast,0.0218990618854479,0.13722678147533127,0.20754073813023946,M0,raw,23,4,True,36,3,True,186,4,True,79,4,True,True,supported
16.0,19.0,erythroblast,erythroblast,0.2699139055958139,0.7216348332237905,0.4866435610779808,M1,raw,105,4,True,36,3,True,186,4,True,79,4,True,True,supported
16.0,19.0,hematopoietic_stem_and_progenitor_HSPC,erythroblast,0.03453072147201679,0.2784125486430127,0.16136898114123543,M1,raw,29,4,True,36,3,True,186,4,True,79,4,True,True,supported
16.0,19.0,macrophage,erythroblast,0.021779543506626694,0.13700907053746425,0.20682482387867604,M1,raw,23,4,True,36,3,True,186,4,True,79,4,True,True,supported
19.0,24.0,erythroblast,erythroblast,0.24001255289230092,0.6736262843242389,0.48341767204113534,M0,raw,36,3,True,807,4,True,79,4,True,1177,4,True,True,supported
19.0,24.0,erythroblast,hematopoietic_stem_and_progenitor_HSPC,0.03469792351657225,0.09738421182796794,0.48341767204113534,M0,raw,36,3,True,27,4,True,79,4,True,1177,4,True,True,supported
19.0,24.0,erythroblast,macrophage,0.0253826589564482,0.07123971656088345,0.48341767204113534,M0,raw,36,3,True,93,4,True,79,4,True,1177,4,True,True,supported
19.0,24.0,erythroblast,macrophage_immature,0.02843230397081749,0.07979893987975438,0.48341767204113534,M0,raw,36,3,True,80,4,True,79,4,True,1177,4,True,True,supported
19.0,24.0,erythroblast,neutrophil,0.01095877841436681,0.030757229549219098,0.48341767204113534,M0,raw,36,3,True,42,4,True,79,4,True,1177,4,True,True,supported
19.0,24.0,erythroblast,non_specific_hematopoietic,0.016594705353396706,0.04657518772228669,0.48341767204113534,M0,raw,36,3,True,127,4,True,79,4,True,1177,4,True,True,supported
19.0,24.0,erythroblast,erythroblast,0.24056772007023114,0.6730841085801766,0.484982163384052,M1,raw,36,3,True,807,4,True,79,4,True,1177,4,True,True,supported
19.0,24.0,erythroblast,hematopoietic_stem_and_progenitor_HSPC,0.03478708395611605,0.09733073659205187,0.484982163384052,M1,raw,36,3,True,27,4,True,79,4,True,1177,4,True,True,supported
19.0,24.0,erythroblast,macrophage,0.025577364577196372,0.07156287481648188,0.484982163384052,M1,raw,36,3,True,93,4,True,79,4,True,1177,4,True,True,supported
19.0,24.0,erythroblast,macrophage_immature,0.028590582180831,0.07999355239911189,0.484982163384052,M1,raw,36,3,True,80,4,True,79,4,True,1177,4,True,True,supported
19.0,24.0,erythroblast,neutrophil,0.01102337003549266,0.030842272569748422,0.484982163384052,M1,raw,36,3,True,42,4,True,79,4,True,1177,4,True,True,supported
19.0,24.0,erythroblast,non_specific_hematopoietic,0.016642671127879868,0.046564507728766705,0.484982163384052,M1,raw,36,3,True,127,4,True,79,4,True,1177,4,True,True,supported
24.0,48.0,erythroblast,erythroblast,0.12286293339280467,0.701064126440684,0.23850654514904393,M0,raw,807,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,erythroblast,macrophage,0.011545654994826255,0.06588028064782815,0.23850654514904393,M0,raw,807,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,erythroblast,macrophage_immature,0.016073459538155296,0.09171623661279482,0.23850654514904393,M0,raw,807,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,erythroblast,neutrophil,0.0012444173144448096,0.007100728538604179,0.23850654514904393,M0,raw,807,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,erythroblast,non_specific_hematopoietic,0.013274918856770858,0.07574757605810227,0.23850654514904393,M0,raw,807,4,True,72,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,erythroblast,0.010713011321604467,0.2065174662420793,0.07059792590303955,M0,raw,27,4,True,187,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,macrophage,0.008131522058951781,0.15675343578884524,0.07059792590303955,M0,raw,27,4,True,73,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,macrophage_immature,0.012456809528748617,0.2401331114202602,0.07059792590303955,M0,raw,27,4,True,64,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,neutrophil,0.001072724999820978,0.020679194886203504,0.07059792590303955,M0,raw,27,4,True,41,3,True,1177,4,True,466,4,True,True,supported
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,non_specific_hematopoietic,0.00973742277087508,0.18771079559242665,0.07059792590303955,M0,raw,27,4,True,72,4,True,1177,4,True,466,4,True,True,supported
24.0,48.0,macrophage,erythroblast,0.025486851346372838,0.10442151237425225,0.33217226910912007,M0,raw,93,4,True,187,3,True,1177,4,True,466,4,True,True,supported
