source_hpf,target_hpf,source_cell_type,n_cells,n_fish,mean_cosine,fish_bootstrap_ci_low,fish_bootstrap_ci_high
12.0,14.0,erythroblast,6,2,0.8410510231136246,0.8393982373790289,0.8493149517866031
12.0,14.0,macrophage_immature,5,2,0.6682900785268966,0.5740908378619609,0.7310895723035201
12.0,14.0,non_specific_hematopoietic,7,3,0.6498072958377763,0.3203262239340175,0.7950905327949283
14.0,16.0,erythroblast,34,4,-0.08528763575858875,-0.3213282152511114,0.044249627960461044
14.0,16.0,macrophage,2,2,0.3159442846393392,0.11198464975935206,0.5199039195193264
14.0,16.0,macrophage_immature,20,4,0.5382181392323742,0.4465852562387149,0.7192000693993402
14.0,16.0,non_specific_hematopoietic,18,4,0.06086480028703291,-0.2009660090882269,0.3144275533223985
16.0,19.0,erythroblast,105,4,-0.13505844644222456,-0.19668518986613373,-0.107157750108599
16.0,19.0,hematopoietic_stem_and_progenitor_HSPC,29,4,0.6353033445554521,0.4603552961619715,0.778763361496023
16.0,19.0,macrophage,23,4,0.564794170437142,0.4380357629700685,0.7071816109426537
16.0,19.0,macrophage_immature,11,4,0.36101127382210335,-0.051382358876958176,0.8181878613960396
16.0,19.0,neutrophil,3,3,0.734385633702904,0.5579160488310962,0.8532330510258331
16.0,19.0,non_specific_hematopoietic,15,3,0.14113609460377116,0.12220854627630003,0.1534713861049439
19.0,24.0,erythroblast,36,3,-0.18601263789784322,-0.5333270269639313,0.26216310037114193
19.0,24.0,hematopoietic_stem_and_progenitor_HSPC,9,4,0.6476104748636204,0.48414431289138504,0.772276133812598
19.0,24.0,macrophage,16,4,0.5047402246164396,0.40223400140116644,0.5410088429218378
19.0,24.0,neutrophil,5,3,0.8227624307987214,0.79095095399422,0.8943983977854687
19.0,24.0,non_specific_hematopoietic,12,3,0.26766576099425526,0.19872150530668703,0.6824238640422046
24.0,48.0,erythroblast,807,4,-0.014548462356056713,-0.047156141272712934,0.03815933763113278
24.0,48.0,hematopoietic_stem_and_progenitor_HSPC,27,4,0.14740576752762016,-0.10954331784718759,0.23408349742296397
24.0,48.0,macrophage,93,4,0.0314266421794681,-0.1059902712978814,0.3334806205693407
24.0,48.0,macrophage_immature,80,4,0.16066421414840812,0.11828279552174421,0.22536122559795985
24.0,48.0,neutrophil,42,4,-0.07597765528498239,-0.22236463945247836,0.005348447030293174
24.0,48.0,non_specific_hematopoietic,127,4,-0.06714532331581011,-0.13214230387831954,0.016995935065176347
48.0,72.0,erythroblast,187,3,0.45820625806386706,0.38915368560089275,0.5338721598508281
48.0,72.0,hematopoietic_stem_and_progenitor_HSPC,13,3,0.1362090253069325,-0.21795405784831878,0.3561656017974513
48.0,72.0,macrophage,73,4,-0.11153104292890659,-0.1499986960515722,-0.01520295185249349
48.0,72.0,macrophage_immature,64,4,0.0267658471766972,-0.1018320765255093,0.11727548996348512
48.0,72.0,microglia,16,3,0.020601588301740872,-0.17694733773693447,0.5155764018575103
48.0,72.0,neutrophil,41,3,0.5848941813919527,0.5329948671880633,0.7291992821254714
48.0,72.0,non_specific_hematopoietic,72,4,0.1468632845886052,0.08498755608246972,0.19567342773372315
72.0,120.0,erythroblast,268,4,-0.09502296603381843,-0.35650575704429277,0.15671651374243495
72.0,120.0,hematopoietic_stem_and_progenitor_HSPC,70,4,-0.01822493391776339,-0.14704198476760208,0.041581958636992065
72.0,120.0,macrophage,78,4,0.14938256988714596,0.12360995382374353,0.1758288287602541
72.0,120.0,macrophage_immature,15,4,0.045231216908772034,-0.17639084782103986,0.2985135765999857
72.0,120.0,microglia,52,4,0.36116839655827204,0.24142564449788403,0.44897974806922325
72.0,120.0,non_specific_hematopoietic,44,4,-0.14200827654410156,-0.26359127827684686,-0.04126289172902676
120.0,240.0,erythroblast,330,4,0.10539638980467841,0.024487904831167587,0.17411957632220995
120.0,240.0,hematopoietic_stem_and_progenitor_HSPC,190,4,-0.09899875391971269,-0.14058317858819552,0.04185984440989417
120.0,240.0,innate-lymphoid-cell,42,4,-0.3834685449905452,-0.48510709287879616,-0.2364974681221792
120.0,240.0,macrophage,425,4,-0.4152818270557306,-0.45086542080852837,-0.3530643254108158
120.0,240.0,macrophage_immature,75,4,-0.1923841509410009,-0.27703785491513605,-0.12377847949736054
120.0,240.0,microglia,75,4,0.3115144022590987,0.20884767018961417,0.4597982611271043
120.0,240.0,neutrophil,244,4,0.1856910740326087,0.1095957705964762,0.23396226972816728
120.0,240.0,non_specific_hematopoietic,75,4,-0.1937201235340913,-0.41470840291948696,-0.112258951950246
