run,growth_scaling,epsilon,tau_a,tau_b,source_hpf,target_hpf,converged,cost,posterior_growth_spearman_vs_saved_primary,cell_source_mass_spearman_vs_saved_primary,type_joint_mass_l1_vs_saved_primary,type_source_mass_max_abs_vs_saved_primary,type_conditional_js_vs_saved_primary
primary_refit,5.0,0.01,0.9,0.9,12.0,14.0,True,0.12278734147548676,0.9999999997162033,1.0,2.6434437019767476e-05,1.5472038409347633e-06,7.246028377889436e-10
primary_refit,5.0,0.01,0.9,0.9,14.0,16.0,True,0.11687330156564713,0.9999999997162033,1.0,9.980868708825744e-08,8.895402303643607e-09,2.9735302869773816e-15
primary_refit,5.0,0.01,0.9,0.9,16.0,19.0,True,0.10104884207248688,0.9999999997162033,0.9999999999999999,4.392733464435544e-06,1.4895869780706672e-07,1.3586361953374228e-11
primary_refit,5.0,0.01,0.9,0.9,19.0,24.0,True,0.11159180104732513,0.9999999997162033,1.0,1.6635273245326159e-07,2.6871251224136472e-08,1.537820247121668e-14
primary_refit,5.0,0.01,0.9,0.9,24.0,48.0,True,0.11963274329900742,0.9999999997162033,1.0,5.4809315647161444e-08,7.19793341596997e-09,9.424432587766956e-16
primary_refit,5.0,0.01,0.9,0.9,48.0,72.0,True,0.06761893630027771,0.9999999997162033,1.0,4.4693243916470084e-08,9.883870388804894e-09,6.120689181666548e-16
primary_refit,5.0,0.01,0.9,0.9,72.0,120.0,True,0.061649929732084274,0.9999999997162033,1.0,6.699722135035944e-08,2.2794941684223247e-08,2.6298436483242197e-16
primary_refit,5.0,0.01,0.9,0.9,120.0,240.0,True,0.06289917230606079,0.9999999997162033,1.0,4.2608094739476866e-08,6.529450896630706e-09,7.142941576622864e-16
growth_scaling_1,1.0,0.01,0.9,0.9,12.0,14.0,True,0.12277980893850327,0.9783442203279201,0.9982456140350877,0.0015354949054081914,0.0007231347222582118,8.879928861556759e-08
growth_scaling_1,1.0,0.01,0.9,0.9,14.0,16.0,True,0.11689332127571106,0.9783442203279201,0.9996845260003154,0.001780474069389735,0.0008033843899272197,2.804481634947527e-07
growth_scaling_1,1.0,0.01,0.9,0.9,16.0,19.0,True,0.10121721774339676,0.9783442203279201,0.9995020723673473,0.007947298027644803,0.0030827202110867424,1.4931333426008475e-06
growth_scaling_1,1.0,0.01,0.9,0.9,19.0,24.0,True,0.11163236945867538,0.9783442203279201,0.9976874391431354,0.014403235151953776,0.006231236901079407,7.209847073553734e-06
growth_scaling_1,1.0,0.01,0.9,0.9,24.0,48.0,True,0.12171383947134018,0.9783442203279201,0.9967871890690319,0.062229066140180755,0.024763127737178203,5.894512020187381e-05
growth_scaling_1,1.0,0.01,0.9,0.9,48.0,72.0,True,0.06670577824115753,0.9783442203279201,0.9568219650468212,0.056389914936071525,0.020804855901292357,0.00011668999519543623
growth_scaling_1,1.0,0.01,0.9,0.9,72.0,120.0,True,0.060052644461393356,0.9783442203279201,0.9516051585250569,0.12510531040840298,0.0361171706277062,0.0010829568912968542
growth_scaling_1,1.0,0.01,0.9,0.9,120.0,240.0,True,0.0665343850851059,0.9783442203279201,0.7631975316887826,0.337981615136344,0.10426461650098379,0.003986003380349978
growth_scaling_2.5,2.5,0.01,0.9,0.9,12.0,14.0,True,0.12278546392917633,0.9967551322298325,1.0,0.0003899208317028747,0.00018168810701074678,6.029095010773053e-09
growth_scaling_2.5,2.5,0.01,0.9,0.9,14.0,16.0,True,0.11687823385000229,0.9967551322298325,0.9999474210000525,0.0004459126435023611,0.00020119787888628338,1.7538994631122572e-08
growth_scaling_2.5,2.5,0.01,0.9,0.9,16.0,19.0,True,0.1010909155011177,0.9967551322298325,0.9999160796124744,0.0019894819360451997,0.0007717316654234363,9.255495482212563e-08
growth_scaling_2.5,2.5,0.01,0.9,0.9,19.0,24.0,True,0.11160189658403397,0.9967551322298325,0.9997565725413827,0.0036125452632433004,0.0015619000013634698,4.5622059646169546e-07
growth_scaling_2.5,2.5,0.01,0.9,0.9,24.0,48.0,True,0.12017050385475159,0.9967551322298325,0.9996877262790389,0.015604495917799516,0.006256929885859186,3.6659237809952152e-06
growth_scaling_2.5,2.5,0.01,0.9,0.9,48.0,72.0,True,0.06739327311515808,0.9967551322298325,0.9913296242285748,0.014086638392312327,0.005304957208651484,7.354943610877281e-06
growth_scaling_2.5,2.5,0.01,0.9,0.9,72.0,120.0,True,0.061358742415905,0.9967551322298325,0.9869966474413303,0.02913848168760609,0.008389344001039856,6.335939250499793e-05
growth_scaling_2.5,2.5,0.01,0.9,0.9,120.0,240.0,True,0.06343165040016174,0.9967551322298325,0.9477170173966302,0.07974674366013293,0.025458440921494463,0.00020280308854682232
growth_scaling_10,10.0,0.01,0.9,0.9,12.0,14.0,True,0.12278828024864197,0.9986073834583827,1.0,0.00018878722938983492,8.942936286104874e-05,2.257422721080241e-09
growth_scaling_10,10.0,0.01,0.9,0.9,14.0,16.0,True,0.11687086522579193,0.9986073834583827,0.9999737105000263,0.0002230277848380388,0.00010068182077505039,4.385614692330406e-09
growth_scaling_10,10.0,0.01,0.9,0.9,16.0,19.0,True,0.10102780908346176,0.9986073834583827,0.9999738914349919,0.0009962905138960108,0.000386299498933651,2.347239317457053e-08
growth_scaling_10,10.0,0.01,0.9,0.9,19.0,24.0,True,0.11158677190542221,0.9986073834583827,0.9998052580331062,0.00180909260132655,0.0007819199511666097,1.1468812966306575e-07
growth_scaling_10,10.0,0.01,0.9,0.9,24.0,48.0,True,0.11935940384864807,0.9986073834583827,0.9998492319425042,0.007809690372357976,0.003143358372665328,9.136153683445392e-07
growth_scaling_10,10.0,0.01,0.9,0.9,48.0,72.0,True,0.06773089617490768,0.9986073834583827,0.9931838010922164,0.007035592548748488,0.0026767909527734,1.8446560610257302e-06
growth_scaling_10,10.0,0.01,0.9,0.9,72.0,120.0,True,0.061771150678396225,0.9986073834583827,0.9943404172616499,0.014058131157919738,0.004034036381837969,1.5229827820703758e-05
growth_scaling_10,10.0,0.01,0.9,0.9,120.0,240.0,True,0.06273269653320312,0.9986073834583827,0.9777773341433312,0.038116906512136325,0.01226180840152763,4.4111020060597516e-05
growth_scaling_20,20.0,0.01,0.9,0.9,12.0,14.0,True,0.12278875708580017,0.9962995169535276,1.0,0.0002846626519759288,0.00013464049650629972,4.0806222708282075e-09
growth_scaling_20,20.0,0.01,0.9,0.9,14.0,16.0,True,0.11686965078115463,0.9962995169535276,0.9999474210000525,0.000334664281788227,0.00015108116922257775,9.866065572948565e-09
growth_scaling_20,20.0,0.01,0.9,0.9,16.0,19.0,True,0.1010172963142395,0.9962995169535276,0.9999571073574867,0.0014943579937294021,0.0005794818386776757,5.2593960222290074e-08
growth_scaling_20,20.0,0.01,0.9,0.9,19.0,24.0,True,0.11158425360918045,0.9962995169535276,0.9997078870496591,0.0027143332951910892,0.0011731048226142349,2.583123807301529e-07
growth_scaling_20,20.0,0.01,0.9,0.9,24.0,48.0,True,0.11922160536050797,0.9962995169535276,0.9996409341620047,0.0117159203012692,0.0047185878924322355,2.0544664726425544e-06
growth_scaling_20,20.0,0.01,0.9,0.9,48.0,72.0,True,0.06778664141893387,0.9962995169535276,0.9796703428644103,0.010551008629414825,0.004021102396694065,4.152500046597574e-06
growth_scaling_20,20.0,0.01,0.9,0.9,72.0,120.0,True,0.06182591989636421,0.9962995169535276,0.9865467210893585,0.020962478506806173,0.006011258633210226,3.403063791669641e-05
growth_scaling_20,20.0,0.01,0.9,0.9,120.0,240.0,True,0.06267336755990982,0.9962995169535276,0.9371373272200421,0.05669928935522763,0.018253803733776774,9.68904091927297e-05
epsilon_0.005,5.0,0.005,0.9,0.9,12.0,14.0,True,0.06948092579841614,0.9706178571525279,0.8614035087719297,0.20312466715877514,0.08125007435058346,0.011432063082220854
epsilon_0.005,5.0,0.005,0.9,0.9,14.0,16.0,True,0.07052657008171082,0.9706178571525279,0.9768389505231609,0.14892154387343123,0.012494833966201657,0.009749588248433874
