run,growth_scaling,epsilon,tau_a,tau_b,all_pairs_converged,min_posterior_growth_spearman,min_cell_source_mass_spearman,median_type_joint_mass_l1,max_type_joint_mass_l1,max_type_source_mass_abs,median_type_conditional_js,max_type_conditional_js
epsilon_0.005,5.0,0.005,0.9,0.9,True,0.9706178571525279,0.8614035087719297,0.1623833751112941,0.20573023631012818,0.08125007435058346,0.008580382721483175,0.011432063082220854
epsilon_0.05,5.0,0.05,0.9,0.9,True,0.7433876412515869,0.3368421052631579,0.3105113959069348,0.6234923729149571,0.2756484571757478,0.026514121827555602,0.08252191984717262
epsilon_0.1,5.0,0.1,0.9,0.9,True,0.3629685657844564,0.30350877192982456,0.42611604839368833,0.8305717486999846,0.3631404603498327,0.051223031680121184,0.15667251437228788
growth_scaling_1,1.0,0.01,0.9,0.9,True,0.9783442203279201,0.7631975316887826,0.035396575044012654,0.337981615136344,0.10426461650098379,3.3077483637713776e-05,0.003986003380349978
growth_scaling_10,10.0,0.01,0.9,0.9,True,0.9986073834583827,0.9777773341433312,0.004422342575037519,0.038116906512136325,0.01226180840152763,5.141517490038025e-07,4.4111020060597516e-05
growth_scaling_2.5,2.5,0.01,0.9,0.9,True,0.9967551322298325,0.9477170173966302,0.008849591827777814,0.07974674366013293,0.025458440921494463,2.0610721887284555e-06,0.00020280308854682232
growth_scaling_20,20.0,0.01,0.9,0.9,True,0.9962995169535276,0.9371373272200421,0.006632670962302957,0.05669928935522763,0.018253803733776774,1.1563894266863536e-06,9.68904091927297e-05
primary_refit,5.0,0.01,0.9,0.9,True,0.9999999997162033,0.9999999999999999,8.340295421930844e-08,2.6434437019767476e-05,1.5472038409347633e-06,1.9579867728770387e-15,7.246028377889436e-10
tau_0.8,5.0,0.01,0.8,0.8,True,0.9686671507611774,0.8614035087719297,0.1595521130962394,0.21089511272472466,0.08005133349313914,0.005361041889088922,0.009180163958635109
tau_0.95,5.0,0.01,0.95,0.95,True,0.9764828501513506,0.8543859649122807,0.15022341462757974,0.25093492720518795,0.10917244860145373,0.0026459013183308235,0.013728486654818229
tau_1,5.0,0.01,1.0,1.0,True,-0.2762319186904571,-0.4651716405037088,0.5960395368516331,1.1147333777968733,0.4473167182324356,0.09047073044591233,0.3323388897872585
