official_fine_cell_type,hpf_numeric,cluster_label,n_cells,n_fish
erythroblast,12.0,39,6,2
erythroblast,14.0,23,32,4
erythroblast,14.0,24,1,1
erythroblast,14.0,35,1,1
erythroblast,16.0,23,102,4
erythroblast,16.0,39,2,2
erythroblast,16.0,24,1,1
erythroblast,19.0,23,30,3
erythroblast,19.0,24,3,2
erythroblast,19.0,39,3,1
erythroblast,24.0,23,789,4
erythroblast,24.0,39,8,2
erythroblast,24.0,24,7,2
erythroblast,24.0,26,3,2
erythroblast,48.0,23,156,3
erythroblast,48.0,39,25,3
erythroblast,48.0,24,5,3
erythroblast,48.0,17,1,1
erythroblast,72.0,23,245,4
erythroblast,72.0,24,20,4
erythroblast,72.0,39,2,1
erythroblast,72.0,35,1,1
erythroblast,120.0,23,287,4
erythroblast,120.0,24,28,4
erythroblast,120.0,39,12,3
erythroblast,120.0,25,1,1
erythroblast,120.0,35,1,1
erythroblast,120.0,36,1,1
erythroblast,240.0,23,556,4
erythroblast,240.0,24,19,4
erythroblast,240.0,39,10,3
hematopoietic_stem_and_progenitor_HSPC,14.0,24,2,1
hematopoietic_stem_and_progenitor_HSPC,14.0,23,1,1
hematopoietic_stem_and_progenitor_HSPC,16.0,24,21,4
hematopoietic_stem_and_progenitor_HSPC,16.0,23,7,2
hematopoietic_stem_and_progenitor_HSPC,16.0,17,1,1
hematopoietic_stem_and_progenitor_HSPC,19.0,24,5,3
hematopoietic_stem_and_progenitor_HSPC,19.0,23,4,3
hematopoietic_stem_and_progenitor_HSPC,24.0,23,12,2
hematopoietic_stem_and_progenitor_HSPC,24.0,24,11,3
hematopoietic_stem_and_progenitor_HSPC,24.0,39,3,3
hematopoietic_stem_and_progenitor_HSPC,24.0,17,1,1
hematopoietic_stem_and_progenitor_HSPC,48.0,24,11,3
hematopoietic_stem_and_progenitor_HSPC,48.0,17,1,1
hematopoietic_stem_and_progenitor_HSPC,48.0,39,1,1
hematopoietic_stem_and_progenitor_HSPC,72.0,24,69,4
hematopoietic_stem_and_progenitor_HSPC,72.0,17,1,1
hematopoietic_stem_and_progenitor_HSPC,120.0,24,179,4
hematopoietic_stem_and_progenitor_HSPC,120.0,39,8,3
hematopoietic_stem_and_progenitor_HSPC,120.0,23,3,3
hematopoietic_stem_and_progenitor_HSPC,240.0,24,309,4
hematopoietic_stem_and_progenitor_HSPC,240.0,23,3,1
hematopoietic_stem_and_progenitor_HSPC,240.0,39,2,1
innate-lymphoid-cell,24.0,24,1,1
innate-lymphoid-cell,72.0,24,1,1
innate-lymphoid-cell,120.0,24,39,4
innate-lymphoid-cell,120.0,39,3,2
innate-lymphoid-cell,240.0,24,65,4
innate-lymphoid-cell,240.0,39,4,3
macrophage,14.0,35,2,2
macrophage,16.0,24,23,4
macrophage,19.0,24,16,4
macrophage,24.0,24,80,4
macrophage,24.0,39,13,4
macrophage,48.0,24,71,4
macrophage,48.0,39,2,2
macrophage,72.0,24,78,4
macrophage,120.0,24,425,4
macrophage,240.0,24,107,4
macrophage_immature,12.0,39,5,2
macrophage_immature,14.0,35,16,4
macrophage_immature,14.0,23,4,2
macrophage_immature,16.0,23,8,4
macrophage_immature,16.0,24,1,1
macrophage_immature,16.0,35,1,1
macrophage_immature,16.0,39,1,1
macrophage_immature,19.0,23,1,1
macrophage_immature,24.0,39,54,4
macrophage_immature,24.0,23,25,3
macrophage_immature,24.0,24,1,1
macrophage_immature,48.0,39,54,4
macrophage_immature,48.0,24,9,3
macrophage_immature,48.0,35,1,1
macrophage_immature,72.0,24,9,3
macrophage_immature,72.0,39,4,3
macrophage_immature,72.0,1,1,1
macrophage_immature,72.0,23,1,1
macrophage_immature,120.0,39,64,4
macrophage_immature,120.0,24,8,3
macrophage_immature,120.0,23,1,1
macrophage_immature,120.0,25,1,1
macrophage_immature,120.0,5,1,1
macrophage_immature,240.0,39,31,3
macrophage_immature,240.0,24,17,4
microglia,12.0,39,1,1
microglia,48.0,24,16,3
microglia,72.0,24,52,4
microglia,120.0,24,75,4
microglia,240.0,24,46,4
microglia,240.0,23,3,1
neutrophil,16.0,24,2,2
neutrophil,16.0,39,1,1
neutrophil,19.0,24,4,2
neutrophil,19.0,39,1,1
neutrophil,24.0,39,40,4
neutrophil,24.0,24,2,2
neutrophil,48.0,39,38,3
neutrophil,48.0,24,3,2
neutrophil,120.0,39,240,4
neutrophil,120.0,24,3,3
neutrophil,120.0,44,1,1
neutrophil,240.0,39,171,4
neutrophil,240.0,24,1,1
non_specific_hematopoietic,12.0,39,7,3
non_specific_hematopoietic,14.0,23,17,4
non_specific_hematopoietic,14.0,36,1,1
non_specific_hematopoietic,16.0,23,13,3
non_specific_hematopoietic,16.0,17,1,1
non_specific_hematopoietic,16.0,24,1,1
non_specific_hematopoietic,19.0,24,7,2
non_specific_hematopoietic,19.0,23,5,2
non_specific_hematopoietic,24.0,23,120,4
non_specific_hematopoietic,24.0,24,4,2
non_specific_hematopoietic,24.0,39,2,2
non_specific_hematopoietic,24.0,26,1,1
non_specific_hematopoietic,48.0,24,64,4
non_specific_hematopoietic,48.0,39,8,2
non_specific_hematopoietic,72.0,24,44,4
non_specific_hematopoietic,120.0,24,69,4
non_specific_hematopoietic,120.0,39,4,1
non_specific_hematopoietic,120.0,19,1,1
non_specific_hematopoietic,120.0,36,1,1
non_specific_hematopoietic,240.0,24,90,4
non_specific_hematopoietic,240.0,23,2,1
non_specific_hematopoietic,240.0,35,1,1
non_specific_hematopoietic,240.0,39,1,1
thymocyte,120.0,24,1,1
thymocyte,240.0,24,14,4
