official_fine_cell_type,hpf,fish_id,n_cells
erythroblast,12.0,TDR35,1
erythroblast,12.0,TDR37,5
erythroblast,14.0,TDR18,17
erythroblast,14.0,TDR19,5
erythroblast,14.0,TDR21,3
erythroblast,14.0,TDR22,9
erythroblast,16.0,TDR39,16
erythroblast,16.0,TDR40,37
erythroblast,16.0,TDR41,42
erythroblast,16.0,TDR42,10
erythroblast,19.0,TDR27,7
erythroblast,19.0,TDR28,14
erythroblast,19.0,TDR29,15
erythroblast,24.0,TDR43,211
erythroblast,24.0,TDR44,300
erythroblast,24.0,TDR45,92
erythroblast,24.0,TDR46,204
erythroblast,48.0,TDR47,82
erythroblast,48.0,TDR48,88
erythroblast,48.0,TDR50,17
erythroblast,72.0,TDR67,79
erythroblast,72.0,TDR68,68
erythroblast,72.0,TDR69,65
erythroblast,72.0,TDR70,56
erythroblast,120.0,TDR51,88
erythroblast,120.0,TDR52,141
erythroblast,120.0,TDR53,37
erythroblast,120.0,TDR54,64
erythroblast,240.0,TDR71,146
erythroblast,240.0,TDR72,92
erythroblast,240.0,TDR73,32
erythroblast,240.0,TDR74,315
hematopoietic_stem_and_progenitor_HSPC,14.0,TDR18,3
hematopoietic_stem_and_progenitor_HSPC,16.0,TDR39,6
hematopoietic_stem_and_progenitor_HSPC,16.0,TDR40,10
hematopoietic_stem_and_progenitor_HSPC,16.0,TDR41,10
hematopoietic_stem_and_progenitor_HSPC,16.0,TDR42,3
hematopoietic_stem_and_progenitor_HSPC,19.0,TDR27,3
hematopoietic_stem_and_progenitor_HSPC,19.0,TDR28,4
hematopoietic_stem_and_progenitor_HSPC,19.0,TDR29,1
hematopoietic_stem_and_progenitor_HSPC,19.0,TDR30,1
hematopoietic_stem_and_progenitor_HSPC,24.0,TDR43,4
hematopoietic_stem_and_progenitor_HSPC,24.0,TDR44,13
hematopoietic_stem_and_progenitor_HSPC,24.0,TDR45,1
hematopoietic_stem_and_progenitor_HSPC,24.0,TDR46,9
hematopoietic_stem_and_progenitor_HSPC,48.0,TDR47,3
hematopoietic_stem_and_progenitor_HSPC,48.0,TDR48,8
hematopoietic_stem_and_progenitor_HSPC,48.0,TDR50,2
hematopoietic_stem_and_progenitor_HSPC,72.0,TDR67,30
hematopoietic_stem_and_progenitor_HSPC,72.0,TDR68,3
hematopoietic_stem_and_progenitor_HSPC,72.0,TDR69,15
hematopoietic_stem_and_progenitor_HSPC,72.0,TDR70,22
hematopoietic_stem_and_progenitor_HSPC,120.0,TDR51,101
hematopoietic_stem_and_progenitor_HSPC,120.0,TDR52,19
hematopoietic_stem_and_progenitor_HSPC,120.0,TDR53,54
hematopoietic_stem_and_progenitor_HSPC,120.0,TDR54,16
hematopoietic_stem_and_progenitor_HSPC,240.0,TDR71,108
hematopoietic_stem_and_progenitor_HSPC,240.0,TDR72,19
hematopoietic_stem_and_progenitor_HSPC,240.0,TDR73,45
hematopoietic_stem_and_progenitor_HSPC,240.0,TDR74,142
innate-lymphoid-cell,24.0,TDR43,1
innate-lymphoid-cell,72.0,TDR70,1
innate-lymphoid-cell,120.0,TDR51,12
innate-lymphoid-cell,120.0,TDR52,3
innate-lymphoid-cell,120.0,TDR53,15
innate-lymphoid-cell,120.0,TDR54,12
innate-lymphoid-cell,240.0,TDR71,25
innate-lymphoid-cell,240.0,TDR72,9
innate-lymphoid-cell,240.0,TDR73,10
innate-lymphoid-cell,240.0,TDR74,25
