hpf,official_fine_cell_type,type_cells,type_fish,passes_type_support
12.0,erythroblast,6,2,False
12.0,macrophage_immature,5,2,False
12.0,microglia,1,1,False
12.0,non_specific_hematopoietic,7,3,False
14.0,erythroblast,34,4,True
14.0,hematopoietic_stem_and_progenitor_HSPC,3,1,False
14.0,macrophage,2,2,False
14.0,macrophage_immature,20,4,True
14.0,non_specific_hematopoietic,18,4,False
16.0,erythroblast,105,4,True
16.0,hematopoietic_stem_and_progenitor_HSPC,29,4,True
16.0,macrophage,23,4,True
16.0,macrophage_immature,11,4,False
16.0,neutrophil,3,3,False
16.0,non_specific_hematopoietic,15,3,False
19.0,erythroblast,36,3,True
19.0,hematopoietic_stem_and_progenitor_HSPC,9,4,False
19.0,macrophage,16,4,False
19.0,macrophage_immature,1,1,False
19.0,neutrophil,5,3,False
19.0,non_specific_hematopoietic,12,3,False
24.0,erythroblast,807,4,True
24.0,hematopoietic_stem_and_progenitor_HSPC,27,4,True
24.0,innate-lymphoid-cell,1,1,False
24.0,macrophage,93,4,True
24.0,macrophage_immature,80,4,True
24.0,neutrophil,42,4,True
24.0,non_specific_hematopoietic,127,4,True
48.0,erythroblast,187,3,True
48.0,hematopoietic_stem_and_progenitor_HSPC,13,3,False
48.0,macrophage,73,4,True
48.0,macrophage_immature,64,4,True
48.0,microglia,16,3,False
48.0,neutrophil,41,3,True
48.0,non_specific_hematopoietic,72,4,True
72.0,erythroblast,268,4,True
72.0,hematopoietic_stem_and_progenitor_HSPC,70,4,True
72.0,innate-lymphoid-cell,1,1,False
72.0,macrophage,78,4,True
72.0,macrophage_immature,15,4,False
72.0,microglia,52,4,True
72.0,non_specific_hematopoietic,44,4,True
120.0,erythroblast,330,4,True
120.0,hematopoietic_stem_and_progenitor_HSPC,190,4,True
120.0,innate-lymphoid-cell,42,4,True
120.0,macrophage,425,4,True
120.0,macrophage_immature,75,4,True
120.0,microglia,75,4,True
120.0,neutrophil,244,4,True
120.0,non_specific_hematopoietic,75,4,True
240.0,erythroblast,585,4,True
240.0,hematopoietic_stem_and_progenitor_HSPC,314,4,True
240.0,innate-lymphoid-cell,69,4,True
240.0,macrophage,107,4,True
240.0,macrophage_immature,48,4,True
240.0,microglia,49,4,True
240.0,neutrophil,172,4,True
240.0,non_specific_hematopoietic,94,4,True
