Gene,gamma,gamma_r2,velocity_finite_fraction,spliced_detected_cells,unspliced_detected_cells
cplx2l,,,1.0,411,36
acy3.2,0.13191430975857493,-0.46691730077857474,1.0,650,29
pdia2,0.11324110488937983,0.5363384927116672,1.0,367,119
atp1a1a.5,,,1.0,21,30
atp1a1a.2,,,1.0,80,9
gja8b,,,1.0,12,0
anos1a,,,1.0,35,54
slit2,0.5256943096841008,-0.4919466363505747,1.0,302,499
capn9,,,1.0,111,41
msx1b,0.128520461759453,0.08406444738727104,1.0,238,59
dlx2b,,,1.0,22,0
glra3,,,1.0,30,508
cnn1a,,,1.0,11,9
ednraa,0.5111332916271359,-0.02459073817236468,1.0,123,248
fgb,,,1.0,158,14
dla,0.20110765325289645,0.1255722711485563,1.0,277,79
adra1d,,,1.0,27,15
fstl1a,0.19498328384349337,-0.11680560537134843,1.0,489,163
mylz3,0.03466635730029976,-0.5127298040716002,1.0,1847,394
hpgd,0.13347421710327903,0.7825927224634819,1.0,432,123
zgc:65894,,,1.0,121,13
anxa5b,0.013883890073312758,-0.028952611441587006,1.0,328,36
hand2,,,1.0,127,2
cnga3b,,,1.0,34,7
hmx4,,,1.0,143,4
fabp2,,,1.0,789,12
chrna6,,,1.0,15,40
zgc:111983,,,1.0,91,6
si:ch211-196h16.12,,,1.0,10,12
ucp1,0.0021356163599587346,-0.14812781925833574,1.0,465,47
mb,0.010640938733561736,-0.14598919080512984,1.0,148,39
tdrd7a,,,1.0,40,23
epha6,,,1.0,16,460
jag1a,0.14684183726889513,-0.19413061483922167,1.0,132,141
cnga1a,,,1.0,24,1
atp1a1a.4,,,1.0,131,27
c3a.1,,,1.0,165,25
acta1a,,,1.0,751,17
dand5,,,1.0,6,1
smox,0.45447732368069627,0.07113971754133008,1.0,1394,1128
lrata,,,1.0,39,0
fgg,,,1.0,226,26
pax5,,,1.0,46,130
rgs11,,,1.0,28,55
rtn4rl2a,,,1.0,40,1
caspb,,,1.0,194,23
morc3b,0.834099104656315,0.9517131865624927,1.0,356,273
inab,,,1.0,33,1
cryaa,,,1.0,50,4
fgfbp2b,,,1.0,58,22
tyrp1b,,,1.0,121,19
helt,,,1.0,83,3
slc24a2,0.26119162814299773,0.10289506206987842,1.0,307,136
grk1a,,,1.0,69,42
sparcl1,,,1.0,88,61
lmo7b,1.6002011729535264,0.5705959974478672,1.0,178,244
hhip,0.013579595157353314,-0.2838154221778464,1.0,332,134
golga7ba,0.06606199495643084,-0.3094440006929562,1.0,219,145
sh3gl2a,0.36599351540781566,0.33535526529554105,1.0,175,111
urp2,,,1.0,14,14
MFAP4-1,,,1.0,105,61
mfap4,,,1.0,1124,10
crybb1l2,,,1.0,357,21
bnc2,1.5628846864444241,0.10133131042201515,1.0,196,432
si:ch211-145b13.6,,,1.0,79,12
