zebrafish_gene,human_gene,source_gene,marker_class,mapping_direction,mapping_database,evidence_status
mki67,MKI67,MKI67,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
top2a,TOP2A,TOP2A,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
pcna,PCNA,PCNA,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
cdc6,CDC6,CDC6,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
orc1,ORC1,ORC1,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
mcm2,MCM2,MCM2,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
mcm3,MCM3,MCM3,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
mcm4,MCM4,MCM4,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
mcm5,MCM5,MCM5,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
mcm6,MCM6,MCM6,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
ccne1,CCNE1,CCNE1,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
mcm10,MCM10,MCM10,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
tyms,TYMS,TYMS,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
gins1,GINS1,GINS1,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
gins2,GINS2,GINS2,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
gins3,GINS3,GINS3,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
pola2,POLA2,POLA2,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
rfc2,RFC2,RFC2,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
rfc3,RFC3,RFC3,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
ube2c,UBE2C,UBE2C,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
cdk1,CDK1,CDK1,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
cdc20,CDC20,CDC20,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
ccnb1,CCNB1,CCNB1,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
ccnb2,CCNB2,CCNB2,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
plk1,PLK1,PLK1,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
aurkb,AURKB,AURKB,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
aurka,AURKA,AURKA,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
bub1,BUB1,BUB1,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
bub3,BUB3,BUB3,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
mad2l1,MAD2L1,MAD2L1,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
cenpf,CENPF,CENPF,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
cenpk,CENPK,CENPK,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
smc4,SMC4,SMC4,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
kif11,KIF11,KIF11,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
tpx2,TPX2,TPX2,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
ndc80,NDC80,NDC80,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
birc5a,BIRC5,BIRC5,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
gmnn,GMNN,GMNN,proliferation,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
baxa,BAX,BAX,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
baxb,BAX,BAX,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
casp3a,CASP3,CASP3,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
casp3b,CASP3,CASP3,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
casp7,CASP7,CASP7,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
casp9,CASP9,CASP9,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
tp53,TP53,TP53,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
bcl2l11,BCL2L11,BCL2L11,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
faslg,FASLG,FASLG,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
dap3,DAP3,DAP3,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
diablob,DIABLO,DIABLO,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
dffa,DFFA,DFFA,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
tnfsf10,TNFSF10,TNFSF10,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
bnip3la,BNIP3L,BNIP3L,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
bnip3lb,BNIP3L,BNIP3L,apoptosis,zebrafish_to_human,ZFIN manually curated human-zebrafish orthology,reviewed
