zebrafish_gene,human_gene,source_gene,marker_class,marker_subclass,mapping_direction,mapping_database,evidence_status,pathway_sources,n_external_sources,selection_rule,zfin_ids,zfin_evidence_codes,zfin_publications,source_urls,zebrafish_gene_database,adata_gene,present_in_adata,raw_count_detection_fraction,passes_detection_filter
acin1a,ACIN1,ACIN1,apoptosis,execution_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030616-583,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-050823-6,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,acin1a,acin1a,True,0.6658680427570779,True
acin1b,ACIN1,ACIN1,apoptosis,execution_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030826-12,AA;CL,ZDB-PUB-050823-6,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,acin1b,acin1b,True,0.5917803169922596,True
casp2,CASP2,CASP2,apoptosis,execution_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030825-3,AA;CL,ZDB-PUB-030905-1,https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,casp2,casp2,True,0.2248433468485122,True
casp3a,CASP3,CASP3,apoptosis,execution_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-011210-1,AA;CL;OT;PT,ZDB-PUB-011109-5;ZDB-PUB-030905-1;ZDB-PUB-160901-6;ZDB-PUB-220608-7,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,casp3a,casp3a,True,0.15517876889052779,True
casp3b,CASP3,CASP3,apoptosis,execution_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-070607-1,AA;CL;OT;PT,ZDB-PUB-030905-1;ZDB-PUB-160901-6;ZDB-PUB-220608-7,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,casp3b,casp3b,True,0.08864725396240256,True
casp7,CASP7,CASP7,apoptosis,execution_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-050522-506,AA;CL,ZDB-PUB-030905-1;ZDB-PUB-140513-246;ZDB-PUB-180622-27,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,casp7,casp7,True,0.04994471065241412,True
dffa,DFFA,DFFA,apoptosis,execution_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-040718-376,AA;CL,ZDB-PUB-030905-1,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,dffa,dffa,True,0.11702911905639407,True
dffb,DFFB,DFFB,apoptosis,execution_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-030826-4,AA;CL;NT,ZDB-PUB-030905-1;ZDB-PUB-190929-11,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,dffb,dffb,True,0.08938444526354519,True
rock1,ROCK1,ROCK1,apoptosis,execution_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-100712-2,AA;PT,ZDB-PUB-030905-1;ZDB-PUB-121210-10;ZDB-PUB-180722-18,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://zfin.org/downloads/human_orthos.txt,rock1,rock1,True,0.34297825285662864,True
casp8,CASP8,CASP8,apoptosis,extrinsic_apoptosis,zebrafish_to_human,ZFIN human orthology download,reviewed_external_consensus,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,directionally_curated_pro_death+KEGG_or_Reactome_or_core+ZFIN_ortholog+present_in_all_genes,ZDB-GENE-000713-1,AA;CL,ZDB-PUB-070504-18;ZDB-PUB-130904-10,https://reactome.org/content/detail/R-HSA-109581;https://reactome.org/content/detail/R-HSA-109606;https://www.kegg.jp/pathway/hsa04210;https://zfin.org/downloads/human_orthos.txt,casp8,casp8,True,0.1245853298931061,True
